2 0.915146
3 0.294093
4 0.108139
5 0.104861
6 0.076642
7 0.055665
8 0.043693
9 0.035004
10 0.028648
11 0.023886
12 0.020217
13 0.017332
14 0.015023
15 0.013147
16 0.011601
17 0.010313
18 0.009228
19 0.008305
20 0.007515
21 0.006832
22 0.006238
23 0.005718
24 0.005261
25 0.004856
26 0.004497
27 0.004175
28 0.003887
29 0.003628
30 0.003394
31 0.003182
32 0.002989
33 0.002813
34 0.002653
35 0.002505
36 0.002370
37 0.002245
38 0.002130
39 0.002023
40 0.001925
41 0.001833
42 0.001748
43 0.001669
44 0.001595
45 0.001525
46 0.001460
47 0.001399
48 0.001342
49 0.001288
50 0.001238
51 0.001190
52 0.001145
53 0.001103
54 0.001063
55 0.001025
56 0.000989
57 0.000955
58 0.000922
59 0.000892
60 0.000862
61 0.000835
62 0.000808
63 0.000783
64 0.000759
65 0.000736
66 0.000714
67 0.000693
68 0.000673
69 0.000654
70 0.000635
71 0.000617
72 0.000600
73 0.000584
74 0.000569
75 0.000554
76 0.000539
77 0.000526
78 0.000512
79 0.000500
80 0.000487
81 0.000475
82 0.000464
83 0.000453
84 0.000442
85 0.000432
86 0.000422
87 0.000412
88 0.000403
89 0.000394
90 0.000386
91 0.000377
92 0.000369
93 0.000361
94 0.000353
95 0.000346
96 0.000339
97 0.000332
98 0.000325
99 0.000319
100 0.000313
